title	genre	north_america_release	source_page
Odin Sphere: Leifthrasir	Action role-playing	Jun 7, 2016	List_of_PlayStation_Vita_games_(M–O)
OlliOlli	Sports	Jan 21, 2014	List_of_PlayStation_Vita_games_(M–O)
OlliOlli2: Welcome to Olliwood	Sports	Mar 3, 2015	List_of_PlayStation_Vita_games_(M–O)
OMG HD Zombies!	Action	Jun 19, 2013	List_of_PlayStation_Vita_games_(M–O)
One Eyed Kutkh	Adventure	Mar 9, 2018	List_of_PlayStation_Vita_games_(M–O)
One More Dungeon	Roguelike	Dec 12, 2017	List_of_PlayStation_Vita_games_(M–O)
One Piece: Burning Blood	Action	May 31, 2016	List_of_PlayStation_Vita_games_(M–O)
One Piece: Pirate Warriors 3	Action	Aug 25, 2015	List_of_PlayStation_Vita_games_(M–O)
One Piece: Unlimited World Red	Action	Jul 15, 2014	List_of_PlayStation_Vita_games_(M–O)
One Tap Hero	Platform	This game was released exclusively in China ( Mar 20, 2015 )	List_of_PlayStation_Vita_games_(M–O)
One Word By POWGI	Simulation	Dec 18, 2018	List_of_PlayStation_Vita_games_(M–O)
Open Me!	Puzzle	Aug 13, 2013	List_of_PlayStation_Vita_games_(M–O)
Operation Abyss: New Tokyo Legacy	Dungeon crawler	Jun 9, 2015	List_of_PlayStation_Vita_games_(M–O)
Operation Babel: New Tokyo Legacy	Dungeon crawler	May 16, 2017	List_of_PlayStation_Vita_games_(M–O)
Oreshika: Tainted Bloodlines	Role-playing	Mar 3, 2015	List_of_PlayStation_Vita_games_(M–O)
Organ Trail Complete Edition	Survival	Oct 20, 2015	List_of_PlayStation_Vita_games_(M–O)
Orgarhythm	Action/rhythm	Oct 23, 2012	List_of_PlayStation_Vita_games_(M–O)
Pachi Pachi On A Roll	Puzzle	Feb 18, 2021	List_of_PlayStation_Vita_games_(P–R)
Paint Park Plus	Application	Jun 4, 2013	List_of_PlayStation_Vita_games_(P–R)
Panda Run	Sports	Jun 30, 2016	List_of_PlayStation_Vita_games_(P–R)
Pantsu Hunter: Back to the 90s	Adventure	Aug 28, 2019	List_of_PlayStation_Vita_games_(P–R)
Papers, Please	Puzzle	Dec 12, 2017	List_of_PlayStation_Vita_games_(P–R)
Paradox Soul	Metroidvania	Jul 3, 2019	List_of_PlayStation_Vita_games_(P–R)
Paranautical Activity	Third-person shooter, roguelike	May 31, 2016	List_of_PlayStation_Vita_games_(P–R)
Pato Box	Fighting	Sep 18, 2018	List_of_PlayStation_Vita_games_(P–R)
Peasant Knight	Platform	Mar 19, 2019	List_of_PlayStation_Vita_games_(P–R)
Penny-Punching Princess	Role-playing	Apr 4, 2018	List_of_PlayStation_Vita_games_(P–R)
Perils of Baking: Refrosted	Action	Oct 23, 2018	List_of_PlayStation_Vita_games_(P–R)
Period Cube: Shackles of Amadeus	Otome game	Apr 28, 2017	List_of_PlayStation_Vita_games_(P–R)
Persona 3: Dancing in Moonlight	Rhythm	Dec 4, 2018	List_of_PlayStation_Vita_games_(P–R)
Persona 4 Golden	Role-playing	Nov 20, 2012	List_of_PlayStation_Vita_games_(P–R)
Persona 4: Dancing All Night	Rhythm	Sep 29, 2015	List_of_PlayStation_Vita_games_(P–R)
Persona 5: Dancing in Starlight	Rhythm	Dec 4, 2018	List_of_PlayStation_Vita_games_(P–R)
Phantom Breaker: Battle Grounds	Beat 'em up	Aug 12, 2014	List_of_PlayStation_Vita_games_(P–R)
Phineas and Ferb: Day of Doofensmirtz	Platform	Nov 10, 2015	List_of_PlayStation_Vita_games_(P–R)
Pic-a-Pix Classic	Puzzle	Feb 26, 2019	List_of_PlayStation_Vita_games_(P–R)
Pic-a-Pix Classic 2	Puzzle	Nov 26, 2019	List_of_PlayStation_Vita_games_(P–R)
Pic-a-Pix Color	Puzzle	Apr 24, 2018	List_of_PlayStation_Vita_games_(P–R)
Pic-a-Pix Color 2	Puzzle	Jul 9, 2019	List_of_PlayStation_Vita_games_(P–R)
Pic-a-Pix Pieces	Puzzle	Jan 8, 2019	List_of_PlayStation_Vita_games_(P–R)
Pic-a-Pix Pieces 2	Puzzle	Jun 30, 2020	List_of_PlayStation_Vita_games_(P–R)
Pinball Heroes: Complete	Pinball	Jul 2, 2013	List_of_PlayStation_Vita_games_(P–R)
Pirate Solitaire	Puzzle	Mar 1, 2016	List_of_PlayStation_Vita_games_(P–R)
Pix the Cat	Arcade	Oct 7, 2014	List_of_PlayStation_Vita_games_(P–R)
Pixel Hunter	Sidescroller	Mar 8, 2016	List_of_PlayStation_Vita_games_(P–R)
Pixeljunk Monsters Ultimate HD	Tower defense	Jul 30, 2013	List_of_PlayStation_Vita_games_(P–R)
Pixeljunk Shooter Ultimate	Shooter	Jun 3, 2014	List_of_PlayStation_Vita_games_(P–R)
Plague Road	Roguelike	Jun 6, 2017	List_of_PlayStation_Vita_games_(P–R)
Planet RIX-13	Adventure	Jan 16, 2019	List_of_PlayStation_Vita_games_(P–R)
Plantera	Simulation	May 23, 2017	List_of_PlayStation_Vita_games_(P–R)
Plants vs. Zombies	Tower defense	Feb 21, 2012	List_of_PlayStation_Vita_games_(P–R)
PlayStation All-Stars Battle Royale	Fighting	Nov 20, 2012	List_of_PlayStation_Vita_games_(P–R)
Playstation Home Arcade	Arcade	Feb 5, 2013	List_of_PlayStation_Vita_games_(P–R)
PlayStation Vita Pets	Pet-raising simulation	Jun 3, 2014	List_of_PlayStation_Vita_games_(P–R)
Pocket God vs. Desert Ashes	Tower defense	Oct 20, 2015	List_of_PlayStation_Vita_games_(P–R)
Pocket RPG	Role-playing	Nov 25, 2014	List_of_PlayStation_Vita_games_(P–R)
Polara	Platform	Jul 25, 2017	List_of_PlayStation_Vita_games_(P–R)
Poltergeist: A Pixelated Horror	Puzzle	Oct 28, 2014	List_of_PlayStation_Vita_games_(P–R)
PoxNora	Turn-based strategy	Oct 31, 2017	List_of_PlayStation_Vita_games_(P–R)
Project Root	Shoot 'em up	Apr 28, 2015	List_of_PlayStation_Vita_games_(P–R)
Proteus	Exploration	Oct 29, 2013	List_of_PlayStation_Vita_games_(P–R)
Psychedelica of the Ashen Hawk	Visual novel	Jun 29, 2018	List_of_PlayStation_Vita_games_(P–R)
Psychedelica of the Black Butterfly	Visual novel	Apr 24, 2018	List_of_PlayStation_Vita_games_(P–R)
Psycho-Pass: Mandatory Happiness	Visual novel	Sep 13, 2016	List_of_PlayStation_Vita_games_(P–R)
Puddle	Puzzle-platform	Jul 24, 2012	List_of_PlayStation_Vita_games_(P–R)
PulzAR	Puzzle	Jun 12, 2012	List_of_PlayStation_Vita_games_(P–R)
Pumped BMX +	Platform	Sep 22, 2015	List_of_PlayStation_Vita_games_(P–R)
Punch Line	Adventure	Sep 25, 2018	List_of_PlayStation_Vita_games_(P–R)
Pure Chess	Board game	May 29, 2012	List_of_PlayStation_Vita_games_(P–R)
Pushy and Pully in Blockland	Puzzle	Jul 1, 2021	List_of_PlayStation_Vita_games_(P–R)
Putty Squad	Platform	Apr 29, 2014	List_of_PlayStation_Vita_games_(P–R)
Puzzle by Nikoli V Slitherlink	Puzzle	Jul 30, 2013	List_of_PlayStation_Vita_games_(P–R)
Puzzle by Nikoli V Sudoku	Puzzle	Mar 12, 2013	List_of_PlayStation_Vita_games_(P–R)
Q*bert Rebooted	Puzzle	Feb 17, 2015	List_of_PlayStation_Vita_games_(P–R)
Quell Memento	Puzzle	Jun 4, 2013	List_of_PlayStation_Vita_games_(P–R)
Rabi-Ribi	Platform	Oct 31, 2017	List_of_PlayStation_Vita_games_(P–R)
Race the Sun	Endless runner	Oct 21, 2014	List_of_PlayStation_Vita_games_(P–R)
Ragnarok Odyssey	Action role-playing	Oct 30, 2012	List_of_PlayStation_Vita_games_(P–R)
Ragnarok Odyssey Ace	Action role-playing	Apr 1, 2014	List_of_PlayStation_Vita_games_(P–R)
Rainbow Moon	Tactical role-playing	Dec 3, 2013	List_of_PlayStation_Vita_games_(P–R)
Rainbow Skies	Tactical role-playing	Jun 26, 2018	List_of_PlayStation_Vita_games_(P–R)
Rally Copters	Racing	Sep 22, 2015	List_of_PlayStation_Vita_games_(P–R)
Random Heroes: Gold Edition	Adventure	Mar 31, 2020	List_of_PlayStation_Vita_games_(P–R)
Ratchet & Clank	Action-platform	Jul 29, 2014	List_of_PlayStation_Vita_games_(P–R)
Ratchet & Clank 2	Action-platform	Jul 29, 2014	List_of_PlayStation_Vita_games_(P–R)
Ratchet & Clank 3	Action-platform	Jul 29, 2014	List_of_PlayStation_Vita_games_(P–R)
Ratchet & Clank: Full Frontal Assault	Action-platform, tower defense	May 22, 2013	List_of_PlayStation_Vita_games_(P–R)
Ray Gigant	Dungeon crawler	May 3, 2016	List_of_PlayStation_Vita_games_(P–R)
Rayman Legends	Platform	Aug 29, 2013	List_of_PlayStation_Vita_games_(P–R)
Rayman Origins	Platform	Feb 15, 2012	List_of_PlayStation_Vita_games_(P–R)
Real Boxing	Fighting	Aug 27, 2013	List_of_PlayStation_Vita_games_(P–R)
Reality Fighters	Fighting	Mar 13, 2012	List_of_PlayStation_Vita_games_(P–R)
Red Bow	Adventure	Jan 14, 2020	List_of_PlayStation_Vita_games_(P–R)
Red Game Without a Great Name	Platform	Jan 19, 2016	List_of_PlayStation_Vita_games_(P–R)
Reed 2	Platform	May 5, 2020	List_of_PlayStation_Vita_games_(P–R)
Reed Remastered	Platform	Feb 11, 2020	List_of_PlayStation_Vita_games_(P–R)
Reel Fishing: Master's Challenge	Fishing	Feb 3, 2014	List_of_PlayStation_Vita_games_(P–R)
Resident Evil: Revelations 2	Survival horror	Aug 18, 2015	List_of_PlayStation_Vita_games_(P–R)
Resistance: Burning Skies	First-person shooter	May 29, 2012	List_of_PlayStation_Vita_games_(P–R)
Resogun	Shoot 'em up	Dec 23, 2014	List_of_PlayStation_Vita_games_(P–R)
Retro City Rampage	Action-adventure	Oct 9, 2012	List_of_PlayStation_Vita_games_(P–R)
Retro City Rampage DX	Action-adventure	Nov 11, 2014	List_of_PlayStation_Vita_games_(P–R)
Revenant Dogma	Role-playing	Sep 25, 2018	List_of_PlayStation_Vita_games_(P–R)
Revenant Saga	Role-playing	May 9, 2017	List_of_PlayStation_Vita_games_(P–R)
Revenge of the Bird King	Platform	Nov 2, 2020	List_of_PlayStation_Vita_games_(P–R)
Reverie	Role-playing	Mar 29, 2018	List_of_PlayStation_Vita_games_(P–R)
Riddled Corpses EX	Shooter	Jun 5, 2018	List_of_PlayStation_Vita_games_(P–R)
Ridge Racer	Racing	Mar 13, 2012	List_of_PlayStation_Vita_games_(P–R)
Ring Run Circus	Puzzle	Nov 11, 2014	List_of_PlayStation_Vita_games_(P–R)
Risk of Rain	Roguelike	Apr 12, 2016	List_of_PlayStation_Vita_games_(P–R)
Rock Boshers DX: Director's Cut	Shooter	Dec 9, 2014	List_of_PlayStation_Vita_games_(P–R)
Rocketbirds 2: Evolution	Platform	Apr 26, 2016	List_of_PlayStation_Vita_games_(P–R)
Rocketbirds: Hardboiled Chicken	Platform	Feb 12, 2013	List_of_PlayStation_Vita_games_(P–R)
Rogue Aces	Shooter	Apr 12, 2018	List_of_PlayStation_Vita_games_(P–R)
Rogue Legacy	Roguelike	Jul 29, 2014	List_of_PlayStation_Vita_games_(P–R)
Rollers of the Realm	Pinball Puzzle RPG	Nov 18, 2014	List_of_PlayStation_Vita_games_(P–R)
Romancing SaGa 2	Role-playing	Dec 15, 2017	List_of_PlayStation_Vita_games_(P–R)
Romancing SaGa 3	Role-playing	Nov 11, 2019	List_of_PlayStation_Vita_games_(P–R)
Root Double: Before Crime * After Days – Xtend Edition	Visual novel	Mar 8, 2018	List_of_PlayStation_Vita_games_(P–R)
Root Letter	Visual novel Adventure	Oct 28, 2016	List_of_PlayStation_Vita_games_(P–R)
Roundabout	Puzzle	Jul 30, 2018	List_of_PlayStation_Vita_games_(P–R)
Royal Defense	Tower defense	Feb 2, 2016	List_of_PlayStation_Vita_games_(P–R)
Royal Defense: Invisible Threat	Tower defense	Mar 1, 2016	List_of_PlayStation_Vita_games_(P–R)
Rugby 15	Sports	Feb 24, 2015	List_of_PlayStation_Vita_games_(P–R)
Rugby World Cup 2015	Sports	Sep 4, 2015	List_of_PlayStation_Vita_games_(P–R)
Run Like Hell	Endless runner	Sep 16, 2014	List_of_PlayStation_Vita_games_(P–R)
Run Sackboy! Run!	Endless runner	Mar 31, 2015	List_of_PlayStation_Vita_games_(P–R)
Rush Rover	Action	Apr 7, 2020	List_of_PlayStation_Vita_games_(P–R)
Russian Subway Dogs	Action	Jul 20, 2021	List_of_PlayStation_Vita_games_(P–R)
Salt and Sanctuary	Action role-playing	Mar 28, 2017	List_of_PlayStation_Vita_games_(S)
Samurai Shodown V Special	Fighting	Sep 12, 2017	List_of_PlayStation_Vita_games_(S)
Samurai Warriors 4	Hack and slash	Oct 21, 2014	List_of_PlayStation_Vita_games_(S)
Samurai Warriors 4-II	Hack and slash	Sep 29, 2015	List_of_PlayStation_Vita_games_(S)
Samurai Warriors 4: Empires	Hack and slash	Mar 15, 2016	List_of_PlayStation_Vita_games_(S)
Samurai Warriors: Chronicles 3	Hack and slash	Jun 30, 2015	List_of_PlayStation_Vita_games_(S)
Saturday Morning RPG	Role-playing	Jan 26, 2016	List_of_PlayStation_Vita_games_(S)
Save the Ninja Clan	Platform	Oct 6, 2017	List_of_PlayStation_Vita_games_(S)
Sayonara Umihara Kawase Plus	Platform	Apr 21, 2015	List_of_PlayStation_Vita_games_(S)
Scintillatron 4096	Shooter	Dec 18, 2018	List_of_PlayStation_Vita_games_(S)
ScourgeBringer	Platform	Apr 22, 2021	List_of_PlayStation_Vita_games_(S)
Scram Kitty DX	Shooter	Mar 10, 2015	List_of_PlayStation_Vita_games_(S)
Secret of Mana	Action role-playing	Feb 15, 2018	List_of_PlayStation_Vita_games_(S)
Semispheres	Puzzle	Oct 10, 2017	List_of_PlayStation_Vita_games_(S)
Senran Kagura Estival Versus	Beat 'em up	Mar 18, 2016	List_of_PlayStation_Vita_games_(S)
Senran Kagura Shinovi Versus	Beat 'em up	Oct 14, 2014	List_of_PlayStation_Vita_games_(S)
Senran Kagura: Bon Appétit! • Senran Kagura: Bon Appétit! - Full Course	Rhythm	Nov 11, 2014	List_of_PlayStation_Vita_games_(S)
Sense: A Cyberpunk Ghost Story	Adventure	Feb 12, 2021	List_of_PlayStation_Vita_games_(S)
Severed	Action	Apr 26, 2016	List_of_PlayStation_Vita_games_(S)
Shake Spears!	Action	Jan 13, 2015	List_of_PlayStation_Vita_games_(S)
Shakedown: Hawaii	Action-adventure	May 7, 2019	List_of_PlayStation_Vita_games_(S)
Shantae: Half-Genie Hero	Platform	Dec 20, 2016	List_of_PlayStation_Vita_games_(S)
Shinobido 2: Revenge of Zen	Stealth	Feb 15, 2012	List_of_PlayStation_Vita_games_(S)
Shiren the Wanderer: The Tower of Fortune and the Dice of Fate	Roguelike	Jul 26, 2016	List_of_PlayStation_Vita_games_(S)
Shovel Knight	Platform	Apr 21, 2015	List_of_PlayStation_Vita_games_(S)
Shu	Platform	May 30, 2017	List_of_PlayStation_Vita_games_(S)
Shutshimi Seriously Swole	Shooter	Aug 25, 2015	List_of_PlayStation_Vita_games_(S)
Sigi: A Fart for Melusina	Platform	Sep 7, 2018	List_of_PlayStation_Vita_games_(S)
Silent Hill: Book of Memories	Hack and slash	Oct 15, 2012	List_of_PlayStation_Vita_games_(S)
Sine Mora	Shoot 'em up	Nov 20, 2012	List_of_PlayStation_Vita_games_(S)
Sir Eatsalot	Adventure, platform	Apr 3, 2018	List_of_PlayStation_Vita_games_(S)
Siralim	Role-playing	Feb 9, 2016	List_of_PlayStation_Vita_games_(S)
Siralim 2	Role-playing	Mar 14, 2017	List_of_PlayStation_Vita_games_(S)
Sketchcross	Puzzle	Apr 27, 2015	List_of_PlayStation_Vita_games_(S)
Skullgirls 2nd Encore	Fighting	Apr 5, 2016	List_of_PlayStation_Vita_games_(S)
SkullPirates	Action	Oct 8, 2021	List_of_PlayStation_Vita_games_(S)
Sky Force Anniversary	Shoot 'em up	Sep 6, 2016	List_of_PlayStation_Vita_games_(S)
Skylight Freerange	Adventure	Jun 6, 2017	List_of_PlayStation_Vita_games_(S)
Skylight Freerange 2: Gachduine	Adventure	Sep 20, 2016	List_of_PlayStation_Vita_games_(S)
Slain: Back from Hell	Hack and slash	Nov 22, 2016	List_of_PlayStation_Vita_games_(S)
Slayaway Camp: Butcher's Cut	Puzzle	Nov 20, 2018	List_of_PlayStation_Vita_games_(S)
Sly 2: Band of Thieves	Platform	Apr 16, 2014	List_of_PlayStation_Vita_games_(S)
Sly 3: Honor Among Thieves	Platform	Apr 16, 2014	List_of_PlayStation_Vita_games_(S)
Sly Cooper and the Thievius Raccoonus	Platform	Apr 16, 2014	List_of_PlayStation_Vita_games_(S)
Sly Cooper: Thieves in Time	Platform	Feb 5, 2013	List_of_PlayStation_Vita_games_(S)
Smart As...	Puzzle, brain training	Oct 30, 2012	List_of_PlayStation_Vita_games_(S)
Sokoban Next	Puzzle	Nov 1, 2017	List_of_PlayStation_Vita_games_(S)
Söldner-X 2: Final Prototype	Shoot 'em up	Mar 17, 2015	List_of_PlayStation_Vita_games_(S)
Son of Scoregasm	Shooter	Oct 11, 2017	List_of_PlayStation_Vita_games_(S)
Sonic & All-Stars Racing Transformed	Racing	Dec 18, 2012	List_of_PlayStation_Vita_games_(S)
Sorcery Saga: Curse of the Great Curry God	Roguelike	Dec 10, 2013	List_of_PlayStation_Vita_games_(S)
Soul Sacrifice	Action role-playing	Apr 30, 2013	List_of_PlayStation_Vita_games_(S)
Soul Sacrifice Delta	Action role-playing	May 13, 2014	List_of_PlayStation_Vita_games_(S)
Sound Shapes	Platform	Aug 7, 2012	List_of_PlayStation_Vita_games_(S)
Space Hulk	Turn-based strategy	Sep 1, 2015	List_of_PlayStation_Vita_games_(S)
Space Overlords	Shooter	Dec 6, 2016	List_of_PlayStation_Vita_games_(S)
Spacejacked	Tower defense	Jul 16, 2018	List_of_PlayStation_Vita_games_(S)
Sparkle	Puzzle	Dec 17, 2013	List_of_PlayStation_Vita_games_(S)
Sparkle 2	Puzzle	May 20, 2014	List_of_PlayStation_Vita_games_(S)
Sparkle Unleashed	Puzzle	Jun 2, 2015	List_of_PlayStation_Vita_games_(S)
Spellspire	Word game	May 23, 2017	List_of_PlayStation_Vita_games_(S)
Spelunky	Roguelike	Aug 27, 2013	List_of_PlayStation_Vita_games_(S)
Spheroids	Platform	Jan 10, 2017	List_of_PlayStation_Vita_games_(S)
Spider: Rite of the Shrouded Moon	Puzzle	Aug 6, 2015	List_of_PlayStation_Vita_games_(S)
Spiral Splatter	Puzzle	Oct 20, 2017	List_of_PlayStation_Vita_games_(S)
Spirit Hunter: NG	Visual novel, adventure	Oct 10, 2019	List_of_PlayStation_Vita_games_(S)
SpongeBob HeroPants	Action-adventure	Feb 3, 2015	List_of_PlayStation_Vita_games_(S)
Spy Chameleon: RGB Agent	Puzzle	Jul 21, 2016	List_of_PlayStation_Vita_games_(S)
Spy Hunter	Vehicular combat	Oct 9, 2012	List_of_PlayStation_Vita_games_(S)
Squareboy vs Bullies: Arena Edition	Beat 'em up	Oct 10, 2017	List_of_PlayStation_Vita_games_(S)
Squares	Puzzle	Jul 21, 2015	List_of_PlayStation_Vita_games_(S)
Star Wars Pinball	Pinball	May 14, 2013	List_of_PlayStation_Vita_games_(S)
Star Wars Pinball: The Force Awakens (Expansion)	Pinball	Jan 12, 2016	List_of_PlayStation_Vita_games_(S)
Stardew Valley	Simulation	May 22, 2018	List_of_PlayStation_Vita_games_(S)
StarDrone Extreme	Action	Apr 17, 2012	List_of_PlayStation_Vita_games_(S)
Starlight Inception	Space simulation	Apr 22, 2014	List_of_PlayStation_Vita_games_(S)
Stay	Adventure	Sep 12, 2018	List_of_PlayStation_Vita_games_(S)
Stealth Inc 2: A Game of Clones	Puzzle-platform	Apr 7, 2015	List_of_PlayStation_Vita_games_(S)
Stealth Inc: A Clone in the Dark	Puzzle-platform	Jul 23, 2013	List_of_PlayStation_Vita_games_(S)
Steam Tactics	Turn-based strategy	Aug 5, 2020	List_of_PlayStation_Vita_games_(S)
SteamWorld Dig	Platform	Mar 18, 2014	List_of_PlayStation_Vita_games_(S)
SteamWorld Dig 2	Platform	Sep 26, 2017	List_of_PlayStation_Vita_games_(S)
SteamWorld Heist	Turn-based strategy, action-adventure	Jun 7, 2016	List_of_PlayStation_Vita_games_(S)
Steins;Gate	Visual novel	Aug 25, 2015	List_of_PlayStation_Vita_games_(S)
Steins;Gate 0	Visual novel	Sep 27, 2016	List_of_PlayStation_Vita_games_(S)
Stick It to the Man!	Adventure	Dec 3, 2013	List_of_PlayStation_Vita_games_(S)
Still Time	Puzzle	Aug 29, 2017	List_of_PlayStation_Vita_games_(S)
Stranded: A Mars Adventure	Platform	Nov 22, 2016	List_of_PlayStation_Vita_games_(S)
Stranger of Sword City	Dungeon crawler	Apr 26, 2016	List_of_PlayStation_Vita_games_(S)
Stranger of Sword City Revisited	Dungeon crawler	Feb 28, 2017	List_of_PlayStation_Vita_games_(S)
Street Fighter X Tekken	Fighting	Oct 23, 2012	List_of_PlayStation_Vita_games_(S)
Strike Solitaire	Puzzle	May 1, 2015	List_of_PlayStation_Vita_games_(S)
Strike Solitaire 2	Puzzle	Jul 15, 2015	List_of_PlayStation_Vita_games_(S)
SturmFront: The Mutant War - Farewell Edition	Shooter	Jun 22, 2021	List_of_PlayStation_Vita_games_(S)
Sumioni: Demon Arts	Action-platform	Mar 20, 2012	List_of_PlayStation_Vita_games_(S)
Summon Night 6	Tactical role-playing	Oct 31, 2017	List_of_PlayStation_Vita_games_(S)
Sunflowers	Puzzle	Oct 9, 2012	List_of_PlayStation_Vita_games_(S)
Super Blackout	Puzzle	Oct 13, 2015	List_of_PlayStation_Vita_games_(S)
Super Blast Deluxe	Puzzle-platform	Feb 16, 2016	List_of_PlayStation_Vita_games_(S)
Super Box Land Demake	Puzzle	Oct 8, 2019	List_of_PlayStation_Vita_games_(S)
Super Destronaut DX	Shooter	Jul 17, 2018	List_of_PlayStation_Vita_games_(S)
Super Destronaut: Land Wars	Shooter	Oct 10, 2020	List_of_PlayStation_Vita_games_(S)
Super Exploding Zoo	Puzzle	Jun 2, 2015	List_of_PlayStation_Vita_games_(S)
Super Hydorah	Shoot 'em up	Dec 13, 2017	List_of_PlayStation_Vita_games_(S)
Super Life of Pixel	Platform	Dec 4, 2018	List_of_PlayStation_Vita_games_(S)
Super Meat Boy	Platform	Oct 6, 2015	List_of_PlayStation_Vita_games_(S)
Super Monkey Ball: Banana Splitz	Puzzle	Oct 23, 2012	List_of_PlayStation_Vita_games_(S)
Super Mutant Alien Assault	Shooter	Sep 11, 2018	List_of_PlayStation_Vita_games_(S)
Super Skull Smash Go! 2 Turbo	Platform	Jul 17, 2018	List_of_PlayStation_Vita_games_(S)
Super Star Wars	Run and gun	Nov 17, 2015	List_of_PlayStation_Vita_games_(S)
Super Stardust Delta	Shoot 'em up	Feb 22, 2012	List_of_PlayStation_Vita_games_(S)
Super Time Force Ultra	Action	Sep 1, 2015	List_of_PlayStation_Vita_games_(S)
Super Weekend Mode	Shooter	Apr 9, 2019	List_of_PlayStation_Vita_games_(S)
Super Wiloo Demake	Action	Jul 30, 2019	List_of_PlayStation_Vita_games_(S)
Superbeat: Xonic	Rhythm	Nov 10, 2015	List_of_PlayStation_Vita_games_(S)
Superdimension Neptune VS Sega Hard Girls	Role-playing	Oct 18, 2016	List_of_PlayStation_Vita_games_(S)
Superfrog HD	Platform	Aug 6, 2013	List_of_PlayStation_Vita_games_(S)
Supermagical	Puzzle	Jan 17, 2017	List_of_PlayStation_Vita_games_(S)
Supremacy MMA: Unrestricted	Fighting	Mar 27, 2012	List_of_PlayStation_Vita_games_(S)
Surge Deluxe	Puzzle	Feb 4, 2014	List_of_PlayStation_Vita_games_(S)
SwapQuest	Puzzle	Feb 23, 2016	List_of_PlayStation_Vita_games_(S)
Switch Galaxy Ultra	Racing	Dec 23, 2014	List_of_PlayStation_Vita_games_(S)
Sword Art Online: Hollow Fragment	Action role-playing	Aug 19, 2014	List_of_PlayStation_Vita_games_(S)
Sword Art Online: Hollow Realization	Action role-playing	Nov 8, 2016	List_of_PlayStation_Vita_games_(S)
Sword Art Online: Lost Song	Action role-playing	Nov 17, 2015	List_of_PlayStation_Vita_games_(S)
Swordbreaker The Game	Visual novel	Sep 30, 2020	List_of_PlayStation_Vita_games_(S)
Synergia	Visual novel	Mar 18, 2021	List_of_PlayStation_Vita_games_(S)
Syrup and the Ultimate Sweet	Visual novel	Mar 4, 2020	List_of_PlayStation_Vita_games_(S)
Table Football	Sports	Feb 22, 2012	List_of_PlayStation_Vita_games_(T–V)
Table Ice Hockey	Sports	Sep 25, 2012	List_of_PlayStation_Vita_games_(T–V)
Table Mini Golf	Sports	Apr 9, 2013	List_of_PlayStation_Vita_games_(T–V)
Table Top Racing	Racing	Aug 5, 2014	List_of_PlayStation_Vita_games_(T–V)
Table Top Tanks	Shooter	May 22, 2012	List_of_PlayStation_Vita_games_(T–V)
Tachyon Project	Shooter	Mar 29, 2016	List_of_PlayStation_Vita_games_(T–V)
Taco Master	Cooking	Dec 8, 2015	List_of_PlayStation_Vita_games_(T–V)
Takotan	Action	Oct 23, 2020	List_of_PlayStation_Vita_games_(T–V)
Tales from Space: Mutant Blobs Attack	Platform	Feb 21, 2012	List_of_PlayStation_Vita_games_(T–V)
Tales of Hearts R	Action role-playing	Nov 11, 2014	List_of_PlayStation_Vita_games_(T–V)
Talisman: Digital Edition	Board game	Mar 7, 2017	List_of_PlayStation_Vita_games_(T–V)
Task Force Kampas	Action	Sep 1, 2020	List_of_PlayStation_Vita_games_(T–V)
Tearaway	Platform	Nov 22, 2013	List_of_PlayStation_Vita_games_(T–V)
Tennis in the Face	Action	Mar 17, 2015	List_of_PlayStation_Vita_games_(T–V)
Terraria	Action sidescroller, sandbox	Dec 17, 2013	List_of_PlayStation_Vita_games_(T–V)
Teslagrad	Puzzle-platform	Nov 24, 2015	List_of_PlayStation_Vita_games_(T–V)
Tetra's Escape	Puzzle	Aug 8, 2018	List_of_PlayStation_Vita_games_(T–V)
Tetris Ultimate	Puzzle	Jun 2, 2015	List_of_PlayStation_Vita_games_(T–V)
The Amazing Spider-Man	Action-adventure	Nov 19, 2013	List_of_PlayStation_Vita_games_(A–D)
The Bard’s Tale: Remastered and Resnarkled	Action role-playing	Aug 17, 2017	List_of_PlayStation_Vita_games_(A–D)
The Binding of Isaac: Rebirth	Roguelike	Nov 4, 2014	List_of_PlayStation_Vita_games_(A–D)
The Bridge	Puzzle	Aug 18, 2015	List_of_PlayStation_Vita_games_(A–D)
The Caligula Effect	Role-playing	May 2, 2017	List_of_PlayStation_Vita_games_(A–D)
The Count Lucanor	Adventure	Jan 9, 2018	List_of_PlayStation_Vita_games_(A–D)
The Deer God	Platform	Apr 25, 2017	List_of_PlayStation_Vita_games_(A–D)
The HD Adventures of Rotating Octopus Character	Action	Aug 27, 2013	List_of_PlayStation_Vita_games_(E–H)
The Hungry Horde	Action	Nov 4, 2014	List_of_PlayStation_Vita_games_(E–H)
The Keeper of 4 Elements	Tower defense	Dec 2, 2016	List_of_PlayStation_Vita_games_(I–L)
The King of Fighters '97 Global Match	Fighting	Apr 3, 2018	List_of_PlayStation_Vita_games_(I–L)
The Last Blade 2	Fighting	May 24, 2016	List_of_PlayStation_Vita_games_(I–L)
The Legend of Dark Witch	Platform	Apr 25, 2017	List_of_PlayStation_Vita_games_(I–L)
The Legend of Heroes: Trails of Cold Steel	Role-playing	Dec 22, 2015	List_of_PlayStation_Vita_games_(I–L)
The Legend of Heroes: Trails of Cold Steel II	Role-playing	Sep 6, 2016	List_of_PlayStation_Vita_games_(I–L)
